# x_m,y_m,w_tr_right_m,w_tr_left_m
0.1608283714680360,-0.8338795616381994,0.1156060008002505,-0.8337704671118527
0.0611602754590537,-0.8265329936749680,0.0135719820564428,-0.8264783553787766
-0.0385078205499285,-0.8191864257117366,-0.0884620366873649,-0.8191862436457006
-0.1382823145313960,-0.8134635666515186,-0.1924181778321439,-0.8135051035092931
-0.2380568349466085,-0.8077411109890931,-0.2963747965132175,-0.8078243636061936
-0.3379951270188800,-0.8075682388957030,-0.3928685221878664,-0.8075932321303505
-0.4379334685860636,-0.8073970439921043,-0.4893599924341916,-0.8073637476299081
-0.5378718253147875,-0.8072349415053488,-0.5905718931350121,-0.8072833988565518
-0.6378101820508888,-0.8070728434429444,-0.6917860907874380,-0.8072031226523290
-0.7376498991328906,-0.8115133785396548,-0.7894811857095253,-0.8114972643721891
-0.8374895512247924,-0.8159569461448696,-0.8871739620221148,-0.8157942882377901
-0.9373298838640476,-0.8203851964967007,-0.9884627163741559,-0.8203746754489286
-1.0371702170778603,-0.8248134339168165,-1.0897545066597933,-0.8249553018918676
-1.1368326901532519,-0.8322352400223115,-1.1888726080779799,-0.8321434733963998
-1.2364949718321294,-0.8396602675275955,-1.2879883703746715,-0.8393344508980526
-1.3358976680937558,-0.8499944306240792,-1.3880934462135741,-0.8496432181997433
-1.4353000456906888,-0.8603321649489107,-1.4881997365247681,-0.8599558128717876
-1.5342620119073069,-0.8742681635971764,-1.5863228595627825,-0.8740594954719765
-1.6332233545419144,-0.8882092570567982,-1.6844431746183266,-0.8881685459040123
-1.7312957605682793,-0.9074306761373234,-1.7768472087062268,-0.9071460242859725
-1.8293668753684407,-0.9266597651627462,-1.8692429396016368,-0.9261305743102506
-1.9268781940816169,-0.9485511497772899,-1.9623985318744150,-0.9479814060216999
-2.0243886486259748,-0.9704466442326984,-2.0555552971609465,-0.9698366624715802
-2.1214100827678140,-0.9944160959618418,-2.1499353689121090,-0.9939102328477890
-2.2184306419538862,-1.0183892584173044,-2.2443176294043576,-1.0179877722333768
-2.3139223991735358,-1.0478674893308850,-2.3348889579618932,-1.0473522046679091
-2.4094113637676671,-1.0773557762196611,-2.4254533251823807,-1.0767262945419025
-2.5044214464848165,-1.1083522391382403,-2.5182166104411428,-1.1075852274561298
-2.5994305936873729,-1.1393516483380470,-2.6109841913728298,-1.1384470610696711
-2.6942191236808144,-1.1710192172022942,-2.7077160475424402,-1.1696817925880116
-2.7890071694017569,-1.2026882527306870,-2.8044566056147007,-1.2009173426472131
-2.8828680540145504,-1.2370075852552491,-2.9016570851204277,-1.2344036372301008
-2.9767266832419015,-1.2713333648160507,-2.9988586834178053,-1.2678954069093762
-3.0689591856909115,-1.3098147404373495,-3.0939184478498616,-1.3052062390738621
-3.1611875524306106,-1.3483066849377456,-3.1889727649807749,-1.3425267842155200
-3.2512740971738014,-1.3915738015806316,-3.2811568811435028,-1.3848775235906678
-3.3413549728206706,-1.4348535574208314,-3.3733334002950053,-1.4272415771701097
-3.4284199787218763,-1.4839176116105497,-3.4601135566012102,-1.4749028788440675
-3.5154775602691979,-1.5329959053668079,-3.5468804283458026,-1.5225772210826993
-3.6002725488684715,-1.5858869166205645,-3.6318948403294375,-1.5749686850172322
-3.6850615218986902,-1.6387880647685484,-3.7169045930380946,-1.6273726903907044
-3.7640881194439109,-1.6999622417273423,-3.7929357039831828,-1.6885810226843510
-3.8431023373159072,-1.7611541921536094,-3.8689475255481671,-1.7498082698665729
-3.9192528082210023,-1.8258748561221272,-3.9415999886800721,-1.8143140928932446
-3.9953973362128012,-1.8906028429578097,-4.0142454803944148,-1.8788267196956010
-4.0678842293029218,-1.9594017585134516,-4.0843846299978539,-1.9473625177460396
-4.1403636764658343,-2.0282089613475485,-4.1545186773859495,-2.0159065058540051
-4.2091905871398172,-2.1006692911023257,-4.2215185278184153,-2.0879042990934069
-4.2780095044153672,-2.1731376155476654,-4.2885115192133032,-2.1599096508173314
-4.3399086720474864,-2.2515980462173428,-4.3487356189733122,-2.2397695157294182
-4.4017950150045939,-2.3300695823198656,-4.4089471736500618,-2.3196439377547264
-4.4577833830439220,-2.4128519556187515,-4.4627488469513068,-2.4040409613459128
-4.5137626075002153,-2.4956410119738401,-4.5165405830650549,-2.4884449962898993
-4.5639840595571144,-2.5820438024379468,-4.5656407445219855,-2.5766460666608153
-4.6141974157479160,-2.6684516740871769,-4.6147343092679689,-2.6648524759524541
-4.6580105472881881,-2.7582739786791990,-4.6580129183181391,-2.7560057458817488
-4.7018158307322544,-2.8481004701239794,-4.7012843969417641,-2.8471626293163590
-4.7394107156506715,-2.9406978564339785,-4.7387121752148298,-2.9391825649358325
-4.7769988728247519,-3.0332982444631367,-4.7761336229888496,-3.0312034355024640
-4.8065679660210403,-3.1287618586332941,-4.8055664728952809,-3.1246231894551979
-4.8361294807314374,-3.2242281787201241,-4.8349917731080829,-3.2180442654347972
-4.8549141258540773,-3.3223852691091271,-4.8537575023146209,-3.3147061254118562
-4.8736932056843569,-3.4205433633811007,-4.8725176079621990,-3.4113687069336254
-4.8822217295826214,-3.5201172841787218,-4.8807863485959659,-3.5082909004862022
-4.8907327672669121,-3.6196915347766878,-4.8890379552005081,-3.6052159852708030
-4.8859650193164148,-3.7195162311317209,-4.8842782203295938,-3.7043366311032075
-4.8811582961205788,-3.8193362251225640,-4.8794797344371670,-3.8034599805320592
-4.8620471294724679,-3.9174303877024146,-4.8604590982770155,-3.9035755865110771
-4.8428765477385500,-4.0155083683339479,-4.8413785906097813,-4.0036782493228023
-4.8096053458000938,-4.1097459857935625,-4.8080891430584556,-4.1007091891243022
-4.7762484902355880,-4.2039454113696557,-4.7747132930086149,-4.1976985498464270
-4.7283825905781915,-4.2916754351521789,-4.7267015458172583,-4.2876447446947044
-4.6803975514450586,-4.3793257415862961,-4.6785702355393379,-4.3775055946730008
-4.6175630366624318,-4.4570401236202937,-4.6155366510023637,-4.4567291092027013
-4.5545774254512947,-4.5346057045226820,-4.5523454049118417,-4.5358287323813444
-4.4778339120731747,-4.5986223787355476,-4.4747984771510234,-4.6036475787477045
-4.4009493415821703,-4.6624343477298327,-4.3970854250936444,-4.6713286493650497
-4.3138010191538720,-4.7113513317009179,-4.3072846552614878,-4.7289847302320247
-4.2265417307989726,-4.7600249138624013,-4.2173210340093013,-4.7865201312908976
-4.1324586446353120,-4.7937306154693324,-4.1173429407729225,-4.8366343839369232
-4.0383114722484672,-4.8272114673052391,-4.0172467655562416,-4.8865859482294809
-3.9405957474513835,-4.8481718716494973,-3.9105753591202106,-4.9274784373101088
-3.8428526374970691,-4.8689692875141137,-3.8038807103115091,-4.9681144975906051
-3.7436524321260278,-4.8810944958520039,-3.6959493932446108,-4.9951066256405783
-3.6444430257862357,-4.8931237824481251,-3.5880873275799008,-5.0217870621552807
-3.5447467194338986,-4.9000770494928378,-3.4838899313111713,-5.0319732993585253
-3.4450474065811894,-4.9069754573551272,-3.3798116239678437,-5.0418830647492561
-3.3451883265022571,-4.9109586154845228,-3.2820617732772872,-5.0371009528280535
-3.2453284246526253,-4.9149168933257972,-3.1844273623849326,-5.0321207960477503
-3.1454241498521744,-4.9175317163580461,-3.0930263259331001,-5.0164468596347698
-3.0455193097657647,-4.9200852779572024,-3.0016105131762787,-5.0007941704072643
-2.9455837942146994,-4.9193144638182993,-2.9093928584232440,-4.9862944680482473
-2.8456482518393655,-4.9185477348677500,-2.8171549183403997,-4.9718258685130969
-2.7457112311773155,-4.9180061408432882,-2.7237990527590425,-4.9590713470927419
