# x_m,y_m,w_tr_right_m,w_tr_left_m
0.1609018856629803,-0.8328822674673844,0.1146060008002505,-0.8327704671118527
0.0612615575613765,-0.8255348179727001,0.0126118684140297,-0.8254745169899885
-0.0383791108546959,-0.8181925470088411,-0.0893886904187092,-0.8181836932713388
-0.1381240603926652,-0.8124371113224521,-0.1933584780516168,-0.8124637315870157
-0.2378700112047339,-0.8067219859512622,-0.2972755718363468,-0.8067835641181399
-0.3377776986513026,-0.8075182191777290,-0.3926809846858004,-0.8075313892265992
-0.4376853487016003,-0.8082944782332865,-0.4881555357247070,-0.8082603715217386
-0.5375893542923237,-0.8071241512700369,-0.5903679600684152,-0.8071530244327884
-0.6374922887819682,-0.8060187936676315,-0.6925264772352577,-0.8061084480438475
-0.7373034239091927,-0.8104816742269932,-0.7900648473740872,-0.8104436722669275
-0.8371146221222385,-0.8149431306126275,-0.8876685799202146,-0.8147819328088939
-0.9369294357551324,-0.8193229682469301,-0.9890182024268747,-0.8192942034111365
-1.0367405449347582,-0.8237656751014472,-1.0903188867434399,-0.8238615557271772
-1.1363790166835341,-0.8311382557785627,-1.1893389205032725,-0.8309958632370411
-1.2360121400326214,-0.8385711505437149,-1.2883821220353400,-0.8381944197836871
-1.3353931813269964,-0.8488467833474882,-1.3885172725555681,-0.8484211773153973
-1.4347624748285892,-0.8592191636341977,-1.4886009483377185,-0.8587506209289675
-1.5337146568772637,-0.8730266132929185,-1.5868569869469225,-0.8727259869378682
-1.6326383208175075,-0.8870044348817593,-1.6849213239582843,-0.8868591725150710
-1.7306930442194917,-0.9061734519883440,-1.7771445551327698,-0.9058010858856693
-1.8287295108064159,-0.9254294593845097,-1.8693951449860191,-0.9248352356213603
-1.9262173996212526,-0.9472993366749348,-1.9624678039128547,-0.9466408884642608
-2.0236885444548505,-0.9692405720336832,-2.0555958840885560,-0.9685229707941214
-2.1207292286347972,-0.9930163078195645,-2.1501487548605618,-0.9923699315150191
-2.2177072911969788,-1.0170185535560294,-2.2445326300743442,-1.0164386474530005
-2.3131800513449088,-1.0464656598316560,-2.3348541793554425,-1.0458379293451201
-2.4086313531028503,-1.0759803698813848,-2.4252728649878228,-1.0753010066790034
-2.5036096935325780,-1.1069851251212979,-2.5178325191525306,-1.1061701902904963
-2.5985794650036214,-1.1380158710084642,-2.6105887180535583,-1.1370502014408828
-2.6933740143498599,-1.1695780859579208,-2.7073639567919803,-1.1681516192336847
-2.7881236167252221,-1.2012693724461911,-2.8041654050028213,-1.1993627296760974
-2.8820185179159736,-1.2354150534124748,-2.9014652464688147,-1.2326597301292557
-2.9758274465001562,-1.2697816450895265,-2.9986494222105216,-1.2661571607673794
-3.0681029105676023,-1.3080885469403623,-3.0937705072646819,-1.3032295973172010
-3.1602617383734319,-1.3466572479761663,-3.1887410266684548,-1.3405835335018892
-3.2504529030981550,-1.3896425222438753,-3.2811714914833301,-1.3826863910871241
-3.3404556571500588,-1.4329910042469700,-3.3732503308761754,-1.4251157256848057
-3.4275398649158979,-1.4819656993054215,-3.4598823712411435,-1.4726023017747358
-3.5144969096702088,-1.5311563137420514,-3.5464515448326743,-1.5203582070129222
-3.5995587754891276,-1.5835648911094680,-3.6320837809978110,-1.5721280697873912
-3.6842194942665039,-1.6365539062290040,-3.7170618243787281,-1.6245348163166746
-3.7633146021626320,-1.6975960548246425,-3.7929634391655660,-1.6857778417881097
-3.8422114741166893,-1.7588835341070048,-3.8686383631905912,-1.7472313353021007
-3.9185010364944155,-1.8233977392907246,-3.9413317239937040,-1.8114530217942824
-3.9945213388021363,-1.8882131078123292,-4.0138468573981516,-1.8759798046599805
-4.0671401960986726,-1.9568329414117871,-4.0841105218193388,-1.9443607369270433
-4.1394920827077799,-2.0257219029988298,-4.1541549491053820,-2.0129692387139997
-4.2086941316873636,-2.0977861549917529,-4.2216127202131277,-2.0842627058205245
-4.2773462355836642,-2.1703314085924510,-4.2885254013960976,-2.1562164134591990
-4.3395543761985538,-2.2485127825859439,-4.3490510094564971,-2.2359064676448401
-4.4012498158293267,-2.3270720381989976,-4.4090082081614472,-2.3159791737021593
-4.4575155259770005,-2.4096332267796510,-4.4629457011677989,-2.4001043318003186
-4.5132866515476673,-2.4925077154428368,-4.5164937530414484,-2.4845649957937521
-4.5638912089505990,-2.5786550239807449,-4.5659735944350928,-2.5725304477631927
-4.6139048696728748,-2.6651209620722196,-4.6149129132954210,-2.6607869106166362
-4.6580771479992134,-2.7547367521191348,-4.6585088296387083,-2.7519201976433800
-4.7016689282115314,-2.8446149176089732,-4.7015729555212484,-2.8431207422019846
-4.7397505758989196,-2.9369835708831542,-4.7395892856514168,-2.9349597004003760
-4.7770685001631108,-3.0296309810489879,-4.7768399276880018,-3.0269064369584773
-4.8074423084219058,-3.1248129739369821,-4.8071285900545835,-3.1198331427174359
-4.8366920971736560,-3.2202850191708485,-4.8363010613564432,-3.2131518369140672
