# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0080992300619014,0.3951011866101715,0.0125364904969079,0.3950978611209521
-0.0918081564792960,0.3949728655128467,-0.0840422400855245,0.3949689805781554
-0.1917155244801465,0.3948414758720312,-0.1806341811866091,0.3948370111269371
-0.2916171673266080,0.3937625373314798,-0.2813054558386245,0.3937512042003128
-0.3915186623042483,0.3926751107791265,-0.3819919760568544,0.3926569935877823
-0.4913972664432341,0.3902736972279033,-0.4850385867489601,0.3902618500499743
-0.5912739586487059,0.3878301579480076,-0.5880576811375936,0.3878244873365914
-0.6909594591943974,0.3811740830722884,-0.6883251695245136,0.3811652444198167
-0.7906410985235711,0.3744722996261849,-0.7885747984290492,0.3744602446714674
-0.8900305456451257,0.3643115834768222,-0.8874729357607180,0.3642926601211816
-0.9894140388147334,0.3541004491518262,-0.9863620076961248,0.3540745276518721
-1.0884363066555287,0.3408304520356980,-1.0847010834651838,0.3407896608803255
-1.1874487240138214,0.3274953645775485,-1.1830208154893793,0.3274393561302839
-1.2859633578292353,0.3108710066648004,-1.2803630321636132,0.3107822134901990
-1.3844632744491832,0.2941679754328616,-1.3776773019479598,0.2940457366671481
-1.4823256108348386,0.2740566485512995,-1.4737808529752430,0.2738723341690347
-1.5801685792210027,0.2538586794835486,-1.5698603772421706,0.2536109661843542
-1.6772794480911961,0.2303856843812540,-1.6650317034458713,0.2300245521531558
-1.7743656444764397,0.2068177068571445,-1.7601787255862480,0.2063416907529774
-1.8706236716055282,0.1800615007544115,-1.8545099450993197,0.1794214276079308
-1.9668492490674789,0.1531961021321916,-1.9488076101777783,0.1523894259572108
-2.0620971573578863,0.1230408651392848,-2.0420943207786282,0.1219908784554140
-2.1573046393936872,0.0927654839003993,-2.1353428626134749,0.0914685542603550
-2.2514076658571653,0.0592077312609555,-2.2275486240396294,0.0575646192797753
-2.3454621335080543,0.0255211459249057,-2.3197150766432943,0.0235273729547000
-2.4383038103680921,-0.0113831273996372,-2.4108997635205642,-0.0138394187669483
-2.5310863337079073,-0.0484285984611703,-2.5020357915455342,-0.0513529884809880
-2.6225089275525022,-0.0887201817822862,-2.5920531607282657,-0.0922409595890922
-2.7138623763859173,-0.1291611620462924,-2.6820197329386137,-0.1332849839144454
-2.8037440235841067,-0.1727821644274442,-2.7709050548064753,-0.1776507139768930
-2.8935439409666692,-0.2165638234620729,-2.8597275759357008,-0.2221838843873889
-2.9817250705357918,-0.2635275407309380,-2.9473062294555330,-0.2700334747949384
-3.0698104916582554,-0.3106629387689238,-3.0348113378927173,-0.3180628186225739
-3.1561241843069059,-0.3609764440448485,-3.1209549999624691,-0.3694197083852962
-3.2423279776511533,-0.4114703404876285,-3.2070134550228353,-0.4209641787175218
-3.3266234166237263,-0.4650966523151024,-3.2915923268434240,-0.4757659053335491
-3.4107887252049340,-0.5189185920525926,-3.3760588988305340,-0.5307695180969904
-3.4928278221713431,-0.5759369129743142,-3.4586905942159656,-0.5890717659217419
-3.5747183400314348,-0.6331597999861845,-3.5411981794406366,-0.6475874782426073
-3.6543155710730271,-0.6935401209716480,-3.6217901508029779,-0.7093979695353682
-3.7337443334502392,-0.7541330290529349,-3.7022324916930947,-0.7714219600524559
-3.8107149306862134,-0.8178278444850688,-3.7804915398489571,-0.8365611669977751
-3.8874898118892132,-0.8817487420482958,-3.8585707609275928,-0.9019287477215145
-3.9615531835319389,-0.9488018503484159,-3.9341586028806335,-0.9704602883625399
-4.0353897133310559,-1.0160940590947047,-4.0095220716844731,-1.0392252244774711
-4.1062444716842315,-1.0865291751271871,-4.0819362193274600,-1.1110580776425714
-4.1768374361450142,-1.1572150003517054,-4.1540991002225782,-1.1831476141779185
-4.2441431459438377,-1.2310488935192261,-4.2231069121404419,-1.2584602343298401
-4.3111646641720753,-1.3051294464907428,-4.2918295434436402,-1.3339976222764813
-4.3747942534433735,-1.3821539732400976,-4.3571484411918782,-1.4122176949696308
-4.4380829738964938,-1.4594449820216888,-4.4221190696560342,-1.4906951195956113
-4.4974747763564435,-1.5397824960008666,-4.4831081757067723,-1.5721146712925942
-4.5564769670041869,-1.6203913400604837,-4.5436889276052357,-1.6537895655279926
-4.6112305558781772,-1.7039589585332764,-4.5998166980454416,-1.7382488947513406
-4.6655471917830207,-1.7877947898720885,-4.6555046205247033,-1.8229783733556064
-4.7152779723157661,-1.8744455360858410,-4.7065763044679558,-1.9105430907091838
-4.7645430222544150,-1.9613458195757338,-4.7571590551041361,-1.9982988490828941
-4.8091404275813980,-2.0507470152606744,-4.8028416189259957,-2.0879692585435854
-4.8531440623050566,-2.1404191116621951,-4.8479073178523029,-2.1779217704228584
-4.8914356742038416,-2.2326972499723552,-4.8870388288219599,-2.2705880836336050
-4.9291381245843233,-2.3251977475346588,-4.9255710260939027,-2.3634494509131052
-4.9613649727462859,-2.4197648274797539,-4.9585332679107745,-2.4581236292103195
-4.9928903874792567,-2.5145429489884190,-4.9907619352876207,-2.5529500870893385
-5.0181952831150642,-2.6111926494983386,-5.0164850475757383,-2.6491270053364633
-5.0426773338458561,-2.7080226093333137,-5.0413705786056733,-2.7455595528431038
-5.0600966664591285,-2.8063997875968947,-5.0590669050953538,-2.8441862409363217
-5.0766037583278285,-2.9048987329074145,-5.0758436220644914,-2.9430160600385284
-5.0855975654404775,-3.0044005609580431,-5.0850463644733717,-3.0435188817142307
-5.0938338486612462,-3.1039448785075789,-5.0934632617657689,-3.1437334966966031
-5.0960235586396045,-3.2038283482210748,-5.0956075251453061,-3.2416476391805586
-5.0972707048511499,-3.3036940761469533,-5.0967976303821985,-3.3391636158818336
-5.0913236837394287,-3.4034243889494959,-5.0907050736149593,-3.4336405713902098
-5.0841254111417991,-3.5030134205788341,-5.0833692229895853,-3.5281284442141367
-5.0676847400920382,-3.6015588755081711,-5.0668497531162986,-3.6226969580454766
-5.0499097875701207,-3.6998047457737120,-5.0489972497879245,-3.7171586404979751
-5.0226436145158537,-3.7959195633554512,-5.0216624035182331,-3.8108603932073826
-4.9939873462821271,-3.8915515960366784,-4.9929363982279362,-3.9042123230163419
-4.9558078580199094,-3.9838761812121959,-4.9546798847799334,-3.9951676971784669
-4.9161823315123963,-4.0754963145816632,-4.9149745750884675,-4.0854957417386979
-4.8670156794385457,-4.1624683944443719,-4.8657099422436199,-4.1716845939071510
-4.8163444707337062,-4.2484530241979197,-4.8149368099318766,-4.2569477036423704
-4.7561154465083151,-4.3281647986898566,-4.7545808149212556,-4.3363299610293726
-4.6944250415074560,-4.4066050282744156,-4.6928154992830491,-4.4141591369014082
-4.6238059374667211,-4.4772764121315340,-4.6224395600855157,-4.4824993433930445
-4.5517201580866464,-4.5462350260634103,-4.5506744703793558,-4.5489973885786057
-4.4710235416661552,-4.6051379839694482,-4.4707536911804011,-4.6046801221656821
-4.3891115587336049,-4.6620751759498908,-4.3896458190825474,-4.6584738038670714
-4.3003539303372156,-4.7079400399881139,-4.3018515548240908,-4.7016272553630998
-4.2107312464072395,-4.7517956378595319,-4.2130398605620254,-4.7433233146537948
-4.1164152333020310,-4.7847500309465607,-4.1187081346554102,-4.7771123424401685
-4.0216431390329737,-4.8161501960586106,-4.0241080483410734,-4.8088513811223494
-3.9244752194852892,-4.8393858962325007,-3.9280982466085912,-4.8298216880391500
-3.8270570151555341,-4.8613563316488140,-3.8322012476783023,-4.8487962059218823
-3.7283605915208913,-4.8768649845086633,-3.7368803393845123,-4.8575781102116835
-3.6295341170926769,-4.8913347049286671,-3.6417772904725951,-4.8647499506107854
-3.5300602327080171,-4.9006324830085939,-3.5477587742194703,-4.8639066811844893
-3.4305282669475807,-4.9090796237133674,-3.4538334360024736,-4.8620156732482274
-3.3307137904329926,-4.9133892211324932,-3.3603613204735598,-4.8550284121215395
-3.2308832235535174,-4.9169929659178129,-3.2666494093820670,-4.8477184414521846
-3.1309760505761361,-4.9172361519866490,-3.1717958335444192,-4.8388720532438656
-3.0310776259769447,-4.9168792906411873,-3.0762471608507482,-4.8305750805832899
-2.9312200062924338,-4.9137236381350000,-2.9774563594683556,-4.8248407377115372
-2.8313817173356202,-4.9101275355878133,-2.8776893061931110,-4.8204403113994472
-2.7316315893889245,-4.9045226871140288,-2.7734698932162902,-4.8221234341990122
-2.6318895289670472,-4.8987831219961331,-2.6683770302563321,-4.8255637350691805
-2.5321834027245109,-4.8924435051698865,-2.5593936669205459,-4.8368308171816201
-2.4324555932627696,-4.8865173078578952,-2.4500635428946844,-4.8496006879233526
-2.3326333316493222,-4.8823919668813547,-2.3392229285216697,-4.8689167093197785
-2.2327967625314855,-4.8793159262588706,-2.2286324143834468,-4.8892010207278460
-2.1328991326528497,-4.8807180305443394,-2.1191092639305444,-4.9136177456706047
-2.0330977637575365,-4.8837933451226796,-2.0103976266474470,-4.9385143782008489
-1.9336984354584017,-4.8938569371989455,-1.9050753297526899,-4.9654153776711007
-1.8346538381990782,-4.9061451227271924,-1.8010711665113708,-4.9925086400572072
-1.7370541689501280,-4.9274947577191952,-1.7024361647572679,-5.0203850480981886
-1.6402272395480164,-4.9514929319666861,-1.6055365326402289,-5.0484424352561241
-1.5464596142312432,-4.9859767657768836,-1.5155072896223902,-5.0772163250690250
-1.4540506915230702,-5.0234123245966753,-1.4275263975326666,-5.1063681676858197
-1.3668754878927729,-5.0722179208312506,-1.3474357481368191,-5.1369758835656496
-1.2814788026399042,-5.1236999458246837,-1.2689553539754133,-5.1697657374864594
-1.2027146364667967,-5.1851630117980898,-1.1964799855147596,-5.2106933044470409
-1.1262444563644201,-5.2491301428822208,-1.1255253810911916,-5.2552251453327870
-1.0581325345910819,-5.3222209662743456,-1.0601117600422181,-5.3128893469331500
-0.9924456981238921,-5.3972703894696030,-0.9965833389877260,-5.3743601704781110
-0.9353255018530179,-5.4792385877526772,-0.9397144073993877,-5.4492779274072713
-0.8810129597419319,-5.5628756412788167,-0.8855167834151705,-5.5261252834801304
-0.8363049213331423,-5.6522215625815511,-0.8404572449335097,-5.6095734675271220
-0.7941065770219337,-5.7426423514088665,-0.7978420142427811,-5.6947959615333135
-0.7602862324350067,-5.8366513224904484,-0.7633865070889678,-5.7859415552365121
-0.7287400684510437,-5.9313505372859368,-0.7312171399599486,-5.8784230183743791
-0.7046025146126206,-6.0282983626689406,-0.7064953432480462,-5.9752563504156671
-0.6825306456906247,-6.1256645995511372,-0.6838901120988388,-6.0728949390217020
-0.6670392433352269,-6.2243637322973742,-0.6680274334127707,-6.1730987610085473
-0.6533899946840023,-6.3232801542076489,-0.6540547167879217,-6.2737062136735755
-0.6454918610744238,-6.4228749424110561,-0.6459823705902489,-6.3755737818541069
-0.6391776541659480,-6.5225440475574965,-0.6395265021453559,-6.4775986250686177
-0.6377157568086990,-6.6224408203177472,-0.6380226623730647,-6.5801052753951659
-0.6375680339415689,-6.7223221678858156,-0.6378488536849874,-6.6826130867478790
-0.6413742927506715,-6.8221571053860428,-0.6416767347080882,-6.7851243913020030
-0.6462346251071420,-6.9219297597062361,-0.6465607360863995,-6.8875217811299612
-0.6542119127217092,-7.0215182391308701,-0.6545677452496765,-6.9895823186523263
-0.6629647599457474,-7.1210326833448541,-0.6633441897353790,-7.0915133113089759
-0.6739733560311257,-7.2203317929280990,-0.6743585703271402,-7.1930675170884317
-0.6854381239633796,-7.3195762258145338,-0.6858219243028660,-7.2945559782727427
-0.6982081781855672,-7.4186642072601092,-0.6985699669472331,-7.3958563184248849
-0.7111410192813983,-7.5177306902013523,-0.7114724501821514,-7.4971346194756459
-0.7245323065229966,-7.6167366282950306,-0.7248098744654705,-7.5983508532303272
-0.7377885690869967,-7.7157604760525969,-0.7380076070525960,-7.6995936967665148
-0.7506705242483381,-7.8148339719181275,-0.7508180946049224,-7.8009103063607119
-0.7631187114064746,-7.9139602745287663,-0.7631946302471474,-7.9022965973005190
-0.7743830663251918,-8.0132306964079021,-0.7743868317343863,-8.0038730613808298
-0.7848971926696999,-8.1125756931169128,-0.7848336390801478,-8.1055613396128319
-0.7933956851687826,-8.2121210494980073,-0.7932778012169780,-8.2075500281415028
-0.8009438567851174,-8.3117309298711515,-0.8007869853620969,-8.3094272469910813
-0.8059790040062823,-8.4115114372072917,-0.8058237177861473,-8.4110096959077172
-0.8100770138873499,-8.5113233613633668,-0.8099081536905501,-8.5120888294317432
-0.8117357932347076,-8.6112170588766386,-0.8115139019485635,-8.6118579070853993
-0.8116897882021746,-8.7110872467151843,-0.8114104071367082,-8.7125712102801067
-0.8072770135225976,-8.8108972150120604,-0.8069287218363859,-8.8157031275126130
-0.8008868011957246,-8.9105505212710199,-0.8005235843152421,-8.9203287828137174
-0.7895283279237860,-9.0098102182115554,-0.7892858228367896,-9.0287074163786460
-0.7772874847337951,-9.1089550658296332,-0.7771081767560863,-9.1368021902843584
-0.7628586780542350,-9.2078151279861959,-0.7625999512301183,-9.2441930932196037
-0.7476021330043980,-9.3065421530920318,-0.7472459700617606,-9.3511100324052023
-0.7303262060480009,-9.4049446159656505,-0.7298286513667875,-9.4568706716598321
-0.7122693565257693,-9.5031990567853786,-0.7116089410758368,-9.5621242564038660
-0.6923368157600412,-9.6010979646976686,-0.6914619732611884,-9.6661599512480585
-0.6716616287987132,-9.6988357413753938,-0.6705565812894614,-9.7696808182814987
-0.6492297619749570,-9.7961923729040059,-0.6478571877436169,-9.8719838945915619
-0.6260812412208018,-9.8933745774515547,-0.6244328195538248,-9.9738135337647993
-0.6012630526311928,-9.9901504001911583,-0.5993193978429766,-10.0745401541364554
-0.5757714670501514,-10.0867452515980354,-0.5735283652624950,-10.1748275835236015
-0.5487341076701023,-10.1829246857279507,-0.5461818859818818,-10.2741068558722635
-0.5210805568439586,-10.2789239110031101,-0.5182193025317905,-10.3729613228262867
-0.4920333259465241,-10.3745155462490235,-0.4888632364095806,-10.4708549799274113
-0.4624543936404188,-10.4699403696102085,-0.4589820623245291,-10.5682766549593623
-0.4316902564936553,-10.5649933559778741,-0.4279303807153693,-10.6646462443207461
-0.4004356230608633,-10.6598830984519442,-0.3964034629773618,-10.7605939779004043
-0.3681035559478826,-10.7544142562148615,-0.3638326323171812,-10.8556150548664174
-0.3353503136473766,-10.8487980275289928,-0.3308565613610532,-10.9502305577230690
-0.3016850004143501,-10.9428626278668357,-0.2970029270878855,-11.0439677743769824
-0.2676500300439252,-11.0367923496144922,-0.2628016794931426,-11.1373426949617986
-0.2328259954160438,-11.1304341616646223,-0.2278584220202702,-11.2299442641086831
-0.1976856021373438,-11.2239564285716540,-0.1926194952834798,-11.3222459571521910
